t;Person ID;x;y
16;279;600255.040228;649027.918590
16;278;600998.898626;648823.759603
16;277;601259.197859;649593.288117
16;275;600533.257962;650393.998681
16;274;599752.288017;649168.497977
16;272;600098.606720;649132.313536
16;271;601430.388195;652054.374450
16;269;600939.502686;648631.315721
16;267;600410.273702;650778.988449
16;266;600731.192695;650887.761658
16;265;600842.191324;653493.848276
16;264;601047.422429;650719.857496
16;263;599824.357361;650187.321226
16;262;601181.129935;649812.131235
16;261;601481.113260;650496.417819
16;260;599778.170069;650148.694879
16;258;600078.941324;651854.245087
16;256;600787.689685;651701.948873
16;255;601027.839567;652554.729750
16;254;600026.353818;649072.882418
16;252;599821.045903;650050.220257
16;251;600913.020574;649005.871770
16;250;601223.759667;649391.120399
16;249;600139.160556;652393.278584
16;248;601325.680391;650926.786395
16;247;600390.354801;650506.897934
16;244;599987.832676;651933.067514
16;243;600665.902879;652922.268572
16;240;599963.649069;650991.269685
16;239;600330.141181;650474.633084
16;238;600283.514429;648629.371179
16;237;600437.679664;648933.437076
16;236;599721.220797;648970.795475
16;235;601784.955585;650149.527759
16;233;601514.911596;650068.348954
16;232;600028.886450;648578.742008
16;231;601607.333938;650103.890750
16;229;600284.643085;653002.162496
17;300;602065.095586;650050.114739
17;298;600036.303770;649088.961541
17;295;600361.369070;653379.649436
17;294;601843.172672;650292.465432
17;293;600381.495263;650354.538096
17;290;600977.813885;650597.881726
17;288;600384.426337;650135.919067
17;287;601148.084971;653130.304391
17;286;600693.897577;648803.849123
17;285;601144.956221;648990.372728
17;282;600236.827208;651604.631805
17;281;601011.861640;650219.848027
17;279;600245.761950;648833.420434
17;278;600219.714482;649674.113635
17;277;600483.549312;650377.172114
17;275;600417.844322;650529.417888
17;274;600613.144489;649441.885131
17;272;600098.606720;649132.313536
17;271;601400.971966;651865.782661
17;269;600293.621224;649369.468280
